Score,Date,Scent
5,"May 13, 2022",Lilac Blossoms
5,"May 12, 2022",Lavender
5,"May 12, 2022",Fresh Cut Roses
1,"May 12, 2022",Pink Sands
5,"May 12, 2022",Pink Sands
5,"May 12, 2022",Sun & Sand
5,"May 11, 2022",Fresh Cut Roses
2,"May 11, 2022",Lilac Blossoms
1,"May 11, 2022",Pink Sands
5,"May 11, 2022",Pink Sands
1,"May 11, 2022",Pink Sands
1,"May 11, 2022",Lilac Blossoms
2,"May 11, 2022",Lilac Blossoms
1,"May 10, 2022",Pink Sands
5,"May 10, 2022",Pink Sands
3,"May 10, 2022",Pink Sands
1,"May 10, 2022",Lilac Blossoms
1,"May 9, 2022",Pink Sands
1,"May 9, 2022",Lilac Blossoms
5,"May 9, 2022",Wild Orchid
1,"May 8, 2022",Lilac Blossoms
5,"May 8, 2022",Fresh Cut Roses
3,"May 8, 2022",Lilac Blossoms
1,"May 8, 2022",Sun & Sand
5,"May 7, 2022",Lilac Blossoms
5,"May 7, 2022",Lilac Blossoms
2,"May 7, 2022",Pink Sands
5,"May 7, 2022",Lilac Blossoms
1,"May 6, 2022",Lilac Blossoms
5,"May 6, 2022",White Gardenia
1,"May 5, 2022",Pink Sands
1,"May 5, 2022",Lilac Blossoms
5,"May 4, 2022",Pink Sands
3,"May 3, 2022",Lilac Blossoms
5,"May 3, 2022",Pink Sands
2,"May 3, 2022",Pink Sands
5,"May 3, 2022",Lilac Blossoms
1,"May 3, 2022",Beach Walk
5,"May 3, 2022",Lilac Blossoms
5,"May 3, 2022",Lilac Blossoms
5,"May 3, 2022",Pink Sands
4,"May 3, 2022",Pink Sands
5,"May 2, 2022",Midnight Jasmine
1,"May 2, 2022",Pink Sands
5,"May 2, 2022",White Gardenia
5,"May 2, 2022",Lilac Blossoms
1,"May 1, 2022",Pink Sands
5,"May 1, 2022",Pink Sands
5,"April 30, 2022",Lilac Blossoms
5,"April 30, 2022",Lavender Vanilla
5,"April 30, 2022",White Gardenia
1,"April 30, 2022",Pink Sands
5,"April 29, 2022",Lavender Vanilla
1,"April 29, 2022","Lavender, Lilac Blossoms"
5,"April 29, 2022",White Gardenia
5,"April 29, 2022",Pink Sands
5,"April 28, 2022",Fresh Cut Roses
5,"April 28, 2022",White Gardenia
5,"April 28, 2022",Fresh Cut Roses
5,"April 27, 2022",White Gardenia
5,"April 27, 2022",Pink Sands
5,"April 27, 2022",Fresh Cut Roses
3,"April 26, 2022",Lilac Blossoms
5,"April 26, 2022",Lilac Blossoms
5,"April 26, 2022",Lilac Blossoms
3,"April 26, 2022",Pink Sands
5,"April 26, 2022",Beach Walk
5,"April 26, 2022",Pink Sands
1,"April 25, 2022",Pink Sands
3,"April 25, 2022",Pink Sands
1,"April 25, 2022",Lilac Blossoms
5,"April 24, 2022",Lilac Blossoms
5,"April 23, 2022",Pink Sands
5,"April 23, 2022",Lilac Blossoms
1,"April 23, 2022",Lilac Blossoms
5,"April 23, 2022",Pink Sands
5,"April 22, 2022",Lilac Blossoms
1,"April 22, 2022",Lilac Blossoms
5,"April 22, 2022",White Gardenia
2,"April 22, 2022",Lilac Blossoms
1,"April 21, 2022",Wedding Day
5,"April 21, 2022",Pink Sands
4,"April 21, 2022",Sun & Sand
4,"April 20, 2022",White Gardenia
3,"April 20, 2022",Lilac Blossoms
5,"April 20, 2022",Lilac Blossoms
4,"April 19, 2022",Pink Sands
1,"April 19, 2022",Lilac Blossoms
5,"April 19, 2022",Pink Sands
5,"April 19, 2022",Lilac Blossoms
5,"April 19, 2022",Lilac Blossoms
5,"April 18, 2022",Sweet Morning Rose
5,"April 17, 2022",Sweet Nothings
5,"April 17, 2022",Lilac Blossoms
5,"April 17, 2022",Beach Walk
3,"April 16, 2022",Pink Sands
5,"April 16, 2022",Early Spring Bloom
3,"April 15, 2022",Lilac Blossoms
5,"April 15, 2022",Lilac Blossoms
5,"April 15, 2022",Fresh Cut Roses
1,"April 15, 2022",Pink Sands
5,"April 15, 2022",Pink Sands
5,"April 15, 2022",Pink Sands
3,"April 14, 2022",Fresh Cut Roses
5,"April 13, 2022",Lilac Blossoms
5,"April 13, 2022",Fresh Cut Roses
5,"April 13, 2022",Midnight Jasmine
1,"April 11, 2022",Midnight Jasmine
3,"April 11, 2022",Midnight Jasmine
3,"April 10, 2022",Sunset Fields
5,"April 9, 2022",Lilac Blossoms
5,"April 9, 2022",Pink Sands
1,"April 9, 2022",Lilac Blossoms
5,"April 8, 2022",White Gardenia
1,"April 7, 2022",Pink Sands
5,"April 6, 2022",Pink Sands
5,"April 6, 2022",White Gardenia
5,"April 3, 2022",Pink Sands
5,"April 3, 2022",Midnight Jasmine
5,"April 3, 2022",Midnight Jasmine
4,"April 3, 2022",Pink Sands
3,"April 3, 2022",Pink Sands
5,"April 3, 2022",Fresh Cut Roses
1,"April 3, 2022",Pink Sands
5,"April 1, 2022",Pink Sands
5,"March 30, 2022",Midnight Jasmine
5,"March 30, 2022",Lavender
2,"March 30, 2022",Pink Sands
5,"March 30, 2022",Lilac Blossoms
5,"March 29, 2022",Pink Sands
5,"March 29, 2022",Pink Sands
1,"March 29, 2022",Pink Sands
5,"March 27, 2022",Fresh Cut Roses
1,"March 27, 2022",Pink Sands
5,"March 25, 2022",Pink Sands
5,"March 22, 2022",Lilac Blossoms
2,"March 22, 2022",Lilac Blossoms
5,"March 22, 2022",Midnight Jasmine
1,"March 21, 2022",Lavender Vanilla
5,"March 21, 2022",Lilac Blossoms
1,"March 20, 2022",Midnight Jasmine
5,"March 20, 2022",White Gardenia
3,"March 19, 2022",Midnight Jasmine
3,"March 19, 2022",Lilac Blossoms
5,"March 19, 2022",White Gardenia
5,"March 19, 2022",Lilac Blossoms
5,"March 17, 2022",Beach Walk
1,"March 17, 2022",Lilac Blossoms
5,"March 16, 2022",Pink Sands
5,"March 15, 2022",Lilac Blossoms
5,"March 15, 2022",Lilac Blossoms
2,"March 15, 2022",Midnight Jasmine
1,"March 14, 2022",Midnight Jasmine
3,"March 14, 2022",Fresh Cut Roses
5,"March 14, 2022",White Gardenia
2,"March 13, 2022",Pink Sands
5,"March 13, 2022",Fresh Cut Roses
5,"March 13, 2022",Pink Sands
1,"March 12, 2022",Sun & Sand
5,"March 11, 2022",Lilac Blossoms
5,"March 11, 2022",Pink Sands
5,"March 11, 2022",Pink Sands
5,"March 11, 2022",Lilac Blossoms
5,"March 11, 2022",Pink Sands
5,"March 10, 2022",Pink Sands
5,"March 10, 2022",Pink Sands
1,"March 10, 2022",Lilac Blossoms
5,"March 10, 2022",Pink Sands
1,"March 8, 2022",Lilac Blossoms
1,"March 8, 2022",Lilac Blossoms
3,"March 8, 2022",White Gardenia
5,"March 8, 2022",Lilac Blossoms
5,"March 7, 2022",Pink Sands
5,"March 7, 2022",Fresh Cut Roses
5,"March 6, 2022",Pink Sands
3,"March 6, 2022",Lilac Blossoms
5,"March 6, 2022",Pink Sands
2,"March 6, 2022",White Gardenia
5,"March 6, 2022",Lilac Blossoms
1,"March 6, 2022",Pink Sands
5,"March 6, 2022",Lilac Blossoms
5,"March 6, 2022",Fresh Cut Roses
5,"March 5, 2022",Lilac Blossoms
5,"March 5, 2022",Enchanted Moon
2,"March 5, 2022",Lilac Blossoms
3,"March 5, 2022",Lilac Blossoms
5,"March 5, 2022",Lilac Blossoms
5,"March 4, 2022",Lilac Blossoms
5,"March 4, 2022",Pink Sands
4,"March 4, 2022",Pink Sands
1,"March 3, 2022",Beach Walk
5,"March 3, 2022",Pink Sands
1,"March 2, 2022",Pink Sands
5,"February 28, 2022",Lilac Blossoms
2,"February 28, 2022",Fresh Cut Roses
3,"February 26, 2022",Fresh Cut Roses
5,"February 26, 2022",Lilac Blossoms
1,"February 26, 2022",Lavender Vanilla
1,"February 25, 2022",Pink Sands
5,"February 25, 2022",Fresh Cut Roses
2,"February 25, 2022",White Gardenia
5,"February 24, 2022",Lilac Blossoms
3,"February 24, 2022",Midnight Jasmine
3,"February 23, 2022",Lilac Blossoms
5,"February 23, 2022",Midnight Jasmine
5,"February 21, 2022",Lilac Blossoms
5,"February 21, 2022",Midnight Jasmine
5,"February 21, 2022",Pink Sands
5,"February 20, 2022",Pink Sands
5,"February 20, 2022","Lavender, Lilac Blossoms"
5,"February 18, 2022",Pink Sands
5,"February 17, 2022",Lavender Vanilla
5,"February 16, 2022",Wild Orchid
5,"February 16, 2022",Pink Sands
4,"February 16, 2022",Lavender Vanilla
1,"February 15, 2022",Lilac Blossoms
5,"February 15, 2022",Lilac Blossoms
1,"February 13, 2022",Lilac Blossoms
5,"February 13, 2022",Fresh Cut Roses
3,"February 12, 2022",Pink Sands
5,"February 11, 2022",Lilac Blossoms
4,"February 11, 2022",Beach Walk
4,"February 10, 2022",Lilac Blossoms
5,"February 10, 2022",Lilac Blossoms
5,"February 9, 2022",Wild Orchid
4,"February 9, 2022",White Gardenia
5,"February 8, 2022",Pink Sands
1,"February 8, 2022",Pink Sands
5,"February 7, 2022",Pink Sands
2,"February 7, 2022",Lilac Blossoms
2,"February 6, 2022",Sun & Sand
5,"February 5, 2022",Pink Sands
5,"February 5, 2022",Lavender Vanilla
5,"February 5, 2022",Beach Walk
5,"February 4, 2022",Wild Orchid
5,"February 4, 2022",Pink Sands
3,"February 3, 2022",Wild Orchid
5,"February 3, 2022",Beach Walk
1,"February 3, 2022",Lilac Blossoms
5,"February 3, 2022",Fresh Cut Roses
5,"February 2, 2022",Fresh Cut Roses
5,"February 1, 2022",Pink Sands
5,"February 1, 2022",Wild Orchid
5,"February 1, 2022",White Gardenia
5,"January 31, 2022",Lilac Blossoms
5,"January 30, 2022",Pink Sands
5,"January 30, 2022",Pink Sands
5,"January 29, 2022",Lilac Blossoms
5,"January 29, 2022",Fresh Cut Roses
5,"January 29, 2022",Lilac Blossoms
5,"January 29, 2022",Pink Sands
1,"January 29, 2022",Pink Sands
5,"January 29, 2022",Pink Sands
5,"January 28, 2022",Fresh Cut Roses
5,"January 28, 2022",Lilac Blossoms
5,"January 28, 2022",Pink Sands
1,"January 28, 2022",Lavender Vanilla
5,"January 28, 2022",Fresh Cut Roses
5,"January 27, 2022",Pink Sands
5,"January 26, 2022",Black Sand Beach
5,"January 26, 2022",Pink Sands
5,"January 25, 2022",Fresh Cut Roses
1,"January 23, 2022",Beach Walk
5,"January 23, 2022",Pink Sands
2,"January 22, 2022",Lilac Blossoms
4,"January 22, 2022",Pink Sands
5,"January 21, 2022","Lavender, Lilac Blossoms"
1,"January 21, 2022",Pink Sands
4,"January 21, 2022",Lilac Blossoms
2,"January 21, 2022",White Gardenia
5,"January 20, 2022",Lilac Blossoms
5,"January 20, 2022",Pink Sands
5,"January 20, 2022",Lilac Blossoms
5,"January 19, 2022",Lilac Blossoms
4,"January 19, 2022",Fresh Cut Roses
1,"January 18, 2022",Lilac Blossoms
5,"January 17, 2022",Lavender Vanilla
4,"January 16, 2022",Pink Sands
5,"January 16, 2022","Lavender, Lilac Blossoms"
1,"January 16, 2022",Pink Sands
5,"January 14, 2022",Fresh Cut Roses
2,"January 14, 2022",Fresh Cut Roses
5,"January 14, 2022",Lilac Blossoms
1,"January 13, 2022",White Gardenia
5,"January 13, 2022",Pink Sands
5,"January 13, 2022",Pink Sands
5,"January 13, 2022",Pink Sands
5,"January 12, 2022",Fresh Cut Roses
2,"January 12, 2022",Fresh Cut Roses
1,"January 12, 2022",Beach Walk
5,"January 12, 2022",Pink Sands
1,"January 12, 2022",Beach Walk
3,"January 11, 2022",Pink Sands
5,"January 11, 2022",Pink Sands
5,"January 11, 2022",Lilac Blossoms
5,"January 10, 2022",Pink Sands
5,"January 10, 2022",Beach Walk
2,"January 10, 2022",Lilac Blossoms
5,"January 9, 2022",White Gardenia
5,"January 8, 2022",Pink Sands
5,"January 8, 2022",Pink Sands
1,"January 7, 2022",Beach Walk
5,"January 7, 2022",Fresh Cut Roses
5,"January 7, 2022",Pink Sands
5,"January 6, 2022",Pink Sands
5,"January 6, 2022",Pink Sands
5,"January 6, 2022",Pink Sands
1,"January 6, 2022",Pink Sands
3,"January 5, 2022",Lilac Blossoms
1,"January 5, 2022",Lilac Blossoms
4,"January 5, 2022",Lilac Blossoms
5,"January 5, 2022",Pink Sands
1,"January 4, 2022",Fresh Cut Roses
5,"January 4, 2022",Pink Sands
1,"January 4, 2022",Pink Sands
5,"January 3, 2022",Pink Sands
1,"January 3, 2022",Pink Sands
5,"January 3, 2022",Pink Sands
1,"January 3, 2022",Sun & Sand
1,"January 3, 2022",Lilac Blossoms
5,"January 3, 2022",Pink Sands
5,"January 2, 2022",Lilac Blossoms
5,"January 2, 2022",Lilac Blossoms
5,"January 2, 2022",Pink Sands
5,"January 2, 2022",Pink Sands
5,"January 1, 2022",Beach Walk
2,"January 1, 2022",Pink Sands
5,"December 31, 2021",Pink Sands
3,"December 31, 2021",Sun & Sand
1,"December 30, 2021",Midnight Jasmine
5,"December 30, 2021",Fresh Cut Roses
5,"December 30, 2021",Lilac Blossoms
5,"December 30, 2021",Fresh Cut Roses
5,"December 30, 2021",Sun & Sand
5,"December 30, 2021",Pink Sands
5,"December 29, 2021",Pink Sands
5,"December 29, 2021",Lilac Blossoms
5,"December 29, 2021",Beach Walk
4,"December 29, 2021",Pink Sands
1,"December 29, 2021",Beach Walk
5,"December 29, 2021",Pink Sands
1,"December 29, 2021",Pink Sands
5,"December 28, 2021",Pink Sands
5,"December 28, 2021",Lilac Blossoms
1,"December 28, 2021",Lilac Blossoms
5,"December 28, 2021",Lilac Blossoms
5,"December 28, 2021",Lilac Blossoms
5,"December 28, 2021",Pink Sands
2,"December 28, 2021",Enchanted Moon
5,"December 28, 2021",Pink Sands
5,"December 28, 2021",Fresh Cut Roses
5,"December 28, 2021",Pink Sands
1,"December 28, 2021",White Gardenia
5,"December 28, 2021",Enchanted Moon
5,"December 27, 2021",Lilac Blossoms
5,"December 26, 2021",Sun & Sand
1,"December 26, 2021",Beach Walk
5,"December 25, 2021",Sun & Sand
1,"December 24, 2021",Pink Sands
5,"December 24, 2021",Lilac Blossoms
5,"December 24, 2021",Fresh Cut Roses
2,"December 24, 2021",White Gardenia
3,"December 24, 2021",Wild Orchid
1,"December 24, 2021",Pink Sands
5,"December 23, 2021",White Gardenia
5,"December 23, 2021",Pink Sands
4,"December 23, 2021",Lavender Vanilla
5,"December 22, 2021",Fresh Cut Roses
1,"December 22, 2021",Fresh Cut Roses
5,"December 21, 2021",Pink Sands
1,"December 21, 2021",White Gardenia
5,"December 19, 2021",Pink Sands
5,"December 19, 2021",Fresh Cut Roses
5,"December 19, 2021",Pink Sands
1,"December 17, 2021",Lavender Vanilla
5,"December 17, 2021",Pink Sands
2,"December 17, 2021",Lilac Blossoms
5,"December 16, 2021",Pink Sands
5,"December 16, 2021",Pink Sands
5,"December 16, 2021",Pink Sands
1,"December 15, 2021","Lavender, Lilac Blossoms"
5,"December 14, 2021",Fresh Cut Roses
2,"December 14, 2021",Wild Orchid
1,"December 14, 2021",Fresh Cut Roses
5,"December 13, 2021",Sun & Sand
5,"December 13, 2021",Fresh Cut Roses
